package_id,county_count,record_count
d04hokd27ee000938c20,2,3
cvnja05u3ph000aivmr0,2,3
cvvc3lacalk000dvsjd0,2,3
d0552udlhp0g009n7kng,2,3
cvvsslkclak000atdg8g,2,3
d04hmskaa58000e4ge3g,2,3
cvndr2ss3cjg00dhi28g,2,3
cvnj0c4s10rg00ep8upg,2,3
d07pr0gb12i000a3a6a0,2,3
cvqjljmjsr2g0084udbg,2,3
cvnj8lnmrfo0009vlhb0,2,3
cvndntk72f3g0096iqk0,2,3
cvnjoe0sssgg00cjtssg,2,3
cvndvqqo7i8g00fs5a70,2,3
cvndt84clak0009nlrlg,2,3
cvnjkopggil000ecaoe0,2,3
cvndlf6b3op0009aprq0,2,3
cvqjpnqcalk000d6u390,2,3
cvv7pacs3cjg00ego010,2,3
cvqju69ggil000eiig00,2,3
cvnjg3eomc2g00c7s4f0,2,3
d04k60sclak000cgthb0,2,3
cvnj49kaa58000bbh2sg,2,3
cvvbqg0sssgg00dj539g,2,3
cvnj8o6omc2g00c7s3o0,2,3
cvnj53cclak0009nm4j0,2,3
cvnj4lsaa58000bbh2ug,2,3
cu40lca5m5tg0095g0mg,2,3
cvnjldmgi0og00f9r7bg,2,3
d04k69lpebk000e61pd0,2,3
cvqjpolu3ph000ap7iug,2,3
cvi5ia4m49j0008anlp0,2,3
cvra7rio7i8g00869dqg,2,3
d00i8ullhp0g008a66hg,2,3
cvvbihss3cjg00egopb0,2,3
d07pu74aa58000eal4s0,2,3
cvqk3gd27ee000eg7u7g,2,3
cvv7q0daar4g00e0ah5g,2,3
d07ptb9s5hl000emhe1g,2,3
cvumcrcaa58000cajesg,2,3
cvvejnob12i000837670,2,3
d07pud5u3ph000dieccg,2,3
cvvu3eqo7i8g00920h50,2,3
d04k5qqcalk000fpv6k0,2,3
d07pr6lpebk000ec32e0,2,3
cvqk32agb1c00094739g,2,3
cvumcqrpp0p000fhn7cg,2,3
cvvv8eer7j8g009s9m50,2,3
cvvc9plpebk000cbt8mg,2,3
cvumc78b12i000834la0,2,2
d057op4mmp3000a3p7t0,2,2
d00lpqk1fmq000cc9150,2,2
cvv7plks10rg00foelig,2,2
cvvei6mr7j8g009lnok0,2,2
d004qu4mmp30008ivvqg,2,2
d5kogqmi2fk000aeabdg,2,2
cvvcb84aa58000calm70,2,2
cvnk5nio7i8g00fs5p50,2,2
d04hphugi0og00a310dg,2,2
cvrtqjk72f3g009i1d9g,2,2
cv2bbcs70kq000b1jlm0,2,2
cvradrugi0og00fjursg,2,2
d03rnn6oeelg00d3qiv0,2,2
d07q03d27ee00099d5qg,2,2
cvvegntu3ph000bi7s00,2,2
cvnerv527ee000e9vkrg,2,2
d04hnnn9vfn000ekkuc0,2,2
d004u32o7i8g0094t5j0,2,2
d0jslc9ggil000a5p8r0,2,2
cvqk89s72f3g009crc4g,2,2
cvvsq15pebk000cief4g,2,2
cvvsidoh3d7g00cq91mg,2,2
d05583io7i8g00allmsg,2,2
cvvej5k72f3g00a5r510,2,2
cvqk8ap0p0eg00ecjdv0,2,2
cvv7oj4s10rg00foekg0,2,2
cvpd6n6gi0og00fea0u0,2,2
d5eqmtrbj1b000d89gog,2,2
d07q16lu3ph000diedqg,2,2
cvnetf10p0eg00e6bd3g,2,2
d00ji7uomc2g00dk4jd0,2,2
d2tv3hkjak9000atdmdg,2,2
cvnefot6kgfg00dqc7kg,2,2
cvnjag6omc2g00c7s3sg,2,2
d03667pggil0008mjga0,2,2
d5gpuiei2fk000ae0480,2,2
cvvbm7momc2g00d72o3g,2,2
cvnk2c6omc2g00c7s600,2,2
cvv7p1daar4g00e0ag7g,2,2
cvo0epn9vfn000bt04mg,2,2
d03uv2hn485g00bn5ssg,2,2
d07puiks10rg009okbtg,2,2
cvvu2qrpuid000bbad40,2,2
cv5kuv548bhg00fala0g,2,2
