recordID,countyName,stateAbbreviation,imageLocation
0188d7dc-050b-4a6f-bd30-9d98c677d658,COAL,OK,s3://enverus-courthouse-prod-chd-plants/ok/coal/0188/0188d7dc-050b-4a6f-bd30-9d98c677d658.pdf
01a37439-455f-4622-9a17-715e86240fb3,CARTER,OK,s3://enverus-courthouse-prod-chd-plants/ok/carter/01a3/01a37439-455f-4622-9a17-715e86240fb3.pdf
01af5364-6bc3-48dc-aaae-5ab0d316ab22,MARSHALL,OK,\\smb.dc2isilon.na.drillinginfo.com\lease_data_entry\data_sources\ok_county_records\ok\marshall\01af
01af97a9-25bd-4c8f-bff5-ede03d2d83e8,COMANCHE,OK,\\smb.dc2isilon.na.drillinginfo.com\lease_data_entry\data_sources\ok_county_records\ok\comanche\01af
01bbc1ba-01e7-4e7a-8fa7-92e8ceba00bb,LINCOLN,OK,s3://enverus-courthouse-prod-chd-plants/ok/lincoln/01bb/01bbc1ba-01e7-4e7a-8fa7-92e8ceba00bb.pdf
01c38fa3-1705-452d-ae4c-dd35badb2077,CARTER,OK,\\smb.dc2isilon.na.drillinginfo.com\lease_data_entry\data_sources\ok_county_records\ok\carter\01c3
01cf5bac-086f-479c-ba62-766b96de494b,GARVIN,OK,s3://enverus-courthouse-prod-chd-plants/ok/garvin/01cf/01cf5bac-086f-479c-ba62-766b96de494b.pdf
01d6c3ae-34dd-4688-aa80-1e5bd3b92812,COMANCHE,OK,\\smb.dc2isilon.na.drillinginfo.com\lease_data_entry\data_sources\ok_county_records\ok\comanche\01d6
01ef9ae7-1390-40d8-8d55-0982a166d145,STEPHENS,OK,s3://enverus-courthouse-prod-chd-plants/ok/stephens/01ef/01ef9ae7-1390-40d8-8d55-0982a166d145.pdf
01fa155b-5b3a-4a04-bf41-5b18aba36df6,JACKSON,OK,\\smb.dc2isilon.na.drillinginfo.com\lease_data_entry\data_sources\ok_county_records\ok\jackson\01fa
01fbac99-c909-443d-a4ae-bece7944ffed,OKMULGEE,OK,\\smb.dc2isilon.na.drillinginfo.com\lease_data_entry\data_sources\ok_county_records\ok\okmulgee\01fb
01fc8e30-282c-41a9-ace1-e1e466963722,ROGER MILLS,OK,s3://enverus-courthouse-prod-chd-plants/ok/roger mills/01fc/01fc8e30-282c-41a9-ace1-e1e466963722.pdf
01fe93e1-7050-4d39-8e0f-89d7be7d4659,COMANCHE,OK,\\smb.dc2isilon.na.drillinginfo.com\lease_data_entry\data_sources\ok_county_records\ok\comanche\01fe
0212ab98-3372-4cc0-819a-9a6f18ee1d64,LOGAN,OK,\\smb.dc2isilon.na.drillinginfo.com\lease_data_entry\data_sources\ok_county_records\ok\logan\0212
0216abad-bdb1-44c0-96c9-ac88bb360afc,CUSTER,OK,s3://enverus-courthouse-prod-chd-plants/ok/custer/0216/0216abad-bdb1-44c0-96c9-ac88bb360afc.pdf
0226ac15-c5da-4adf-abd1-f9ab927c6fd6,OKMULGEE,OK,\\smb.dc2isilon.na.drillinginfo.com\lease_data_entry\data_sources\ok_county_records\ok\okmulgee\0226
0237fc10-41e0-415c-91c1-9466375b2361,LOGAN,OK,s3://enverus-courthouse-prod-chd-plants/ok/logan/0237/0237fc10-41e0-415c-91c1-9466375b2361.pdf
023a58ee-78af-4c6d-a1a7-b166ae8a8f35,GARVIN,OK,s3://enverus-courthouse-prod-chd-plants/ok/garvin/023a/023a58ee-78af-4c6d-a1a7-b166ae8a8f35.pdf
02412795-e831-4265-9aac-66697f177cb6,COMANCHE,OK,\\smb.dc2isilon.na.drillinginfo.com\lease_data_entry\data_sources\ok_county_records\ok\comanche\0241
024e97b3-7d5e-491f-bf65-7c2f45a6148e,COMANCHE,OK,\\smb.dc2isilon.na.drillinginfo.com\lease_data_entry\data_sources\ok_county_records\ok\comanche\024e
0251e009-1aec-4f77-bea6-bf0f9db7b309,WOODWARD,OK,\\smb.dc2isilon.na.drillinginfo.com\lease_data_entry\data_sources\ok_county_records\ok\woodward\0251
0255843e-e1ef-47ff-bc4d-1a77b9cb9fb0,LOGAN,OK,s3://enverus-courthouse-prod-chd-plants/ok/logan/0255/0255843e-e1ef-47ff-bc4d-1a77b9cb9fb0.pdf
02648a32-adb1-47a5-a56d-bf3950a8556a,CUSTER,OK,\\smb.dc2isilon.na.drillinginfo.com\lease_data_entry\data_sources\ok_county_records\ok\custer\0264
0264ccfe-903c-422e-ab6b-29176745d11b,LOVE,OK,s3://enverus-courthouse-prod-chd-plants/ok/love/0264/0264ccfe-903c-422e-ab6b-29176745d11b.pdf
02667924-418b-4c07-ae47-2de7b3e42ae8,LOGAN,OK,\\smb.dc2isilon.na.drillinginfo.com\lease_data_entry\data_sources\ok_county_records\ok\logan\0266
02726c73-d98c-420c-b4d9-52018dd5a220,LEFLORE,OK,s3://enverus-courthouse-prod-chd-plants/ok/leflore/0272/02726c73-d98c-420c-b4d9-52018dd5a220.pdf
