package_id,distinct_documents,record_count
cvvsoq2dvnk00097t760,2,2
cvumc78b12i000834la0,2,2
d04k5v472f3g00bvu1f0,2,2
cvvek1cs10rg00fog99g,2,2
cvum5bqo7i8g008rc6l0,2,2
cvnir0dpebk000bcm190,2,2
d5sv3u5bg9ng00b6vb90,2,2
d07pq9gh3d7g00ejt3bg,2,2
cvpdsc8sssgg00cocf10,2,2
cvume20h3d7g00cjm1m0,2,2
cvvc1ud27ee000f98cn0,2,2
cvpdkrp0qf8g00ffe17g,2,2
cvpdkrmo773g008shung,2,2
cvniumks10rg00ep8uj0,2,2
d07pk6udqm9g00av2jhg,2,2
cvnjb0kclak0009nm5b0,2,2
d0jsmd5pebk000f6bkbg,2,2
cvvs27t27ee000ffpgt0,2,2
cvpdsbio7i8g0080kkng,2,2
cvvrv19ggil000fi16mg,2,2
d07q16lu3ph000diedqg,2,2
cvveh1qdvnk00091cmvg,2,2
d07q07ujsr2g00au2qi0,2,2
cvveg6du3ph000bi7rs0,2,2
cvvsg34clak000atd9gg,2,2
cvumfcss10rg00fodnf0,2,2
cvvbp0smmp300089j8rg,2,2
cvvef8lpebk000cbtgs0,2,2
cvo0ceer7j8g008nuu2g,2,2
d05vn8ks10rg009k34r0,2,2
cvvejpks3cjg00egpi1g,2,2
d07psg3kf5cg00dhg030,2,2
cvvrvpss3cjg00en9um0,2,2
cvvs1rcmmp30008g4oug,2,2
d004qptaar4g00e9noog,2,2
cvvs2nio7i8g0091vh80,2,2
cvvrtsgsssgg00dpm5ag,2,2
cvvei6mr7j8g009lnok0,2,2
d004eev9vfn000d3q9b0,2,2
cvnis57mrfo0009vlfl0,2,2
cvnjj9agb1c0008tvsr0,2,2
d0551j7mrfo000cotkdg,2,2
cvvbqev9vfn000cqmifg,2,2
cvvbihss3cjg00egopb0,2,2
cvumd09ggil000fbej70,2,2
cvne0qcs3cjg00dhi360,2,2
cvvs7r4mmp30008g4u90,2,2
d07pr86qdhp000fehocg,2,2
cvvehh3puid000b4pgs0,2,2
cvnji7er7j8g008mfpq0,2,2
d4pnjk5a7eog00bqsa80,2,2
cvvef2uo773g009nbaig,2,2
d07pp6472f3g00c5vbf0,2,2
cvm4gd7ae9v000cqh6r0,2,2
cvvrs14mmp30008g4k2g,2,2
cvpd6l472f3g009b28hg,2,2
cvvc99hggil000fbgrm0,2,2
cvvs6bt27ee000ffpl2g,2,2
cvvehk2dvnk00091cn40,2,2
d5uluo5sdh8000a0pmrg,2,2
d07pu99s5hl000emheqg,2,2
cvpdkqkmmp3000fephbg,2,2
cvnjj8nk2lrg00c7ol60,2,2
d11334je1c8g00bsfhu0,2,2
cvveheur7j8g009lnod0,2,2
cvvrrfqgb1c000a3md4g,2,2
cvvbrcqgb1c0009t5jb0,2,2
cvvbm9bpp0p000fhoui0,2,2
cvvrstpggil000fi15k0,2,2
cvvs9udpebk000cie8rg,2,2
cvvvcnt27ee000ffqln0,2,2
cvvejnmomc2g00d73gq0,2,2
cvo0cebpuid000a71sq0,2,2
d05vnd4s3cjg008cb2p0,2,2
cvndnoqdvnk000824q3g,2,2
cvumejqgb1c0009t3o60,2,2
cvvboc7mrfo000aurmh0,2,2
cvpdkuss3cjg00dm17r0,2,2
d5pk2kmlkkgg00bf1d40,2,2
cvvstseomc2g00ddk7vg,2,2
cvu1evosssgg00ddsba0,2,2
cvvbrqmjsr2g008tsvtg,2,2
cvvbqbejsr2g008tsvqg,2,2
cvvsj1jpp0p000foa410,2,2
cvnjm0er7j8g008mfq0g,2,2
cvnjif3puid000a5iu60,2,2
cvpd6n6gi0og00fea0u0,2,2
cvvei94s3cjg00egphqg,2,2
d03uurn9vfn000efoo00,2,2
d05572smmp3000a3ooqg,2,2
cvnjiqlu3ph000aivnqg,2,2
cvne3dmb3op0009apv40,2,2
d0jsm0osssgg008dk8pg,2,2
d055ceeomc2g00f16410,2,2
d0sfc78sssgg008knu50,2,2
cvvrs1s1fmq000c5n49g,2,2
cvv7q4du3ph000bi6agg,2,2
d07psg4s3cjg008gs35g,2,2
d4pnjiulkkgg00ba1oq0,2,2
cvvrrp4mmp30008g4k00,2,2
cvnjk3527ee000e9vsf0,2,2
d04k6qk72f3g00bvu1ig,2,2
d05vn6edqm9g00aqhimg,2,2
cvume46jsr2g008tr6c0,2,2
d00i1noh3d7g00d0plag,2,2
cvm3n1fvkbog00e0a350,2,2
cvnirbadvnk00082535g,2,2
cvumfo6omc2g00d70vp0,2,2
cvnjj40b12i000f40tpg,2,2
d5ululkg7bb000diaivg,2,2
d0jslc9ggil000a5p8r0,2,2
cvvv894s3cjg00enb4v0,2,2
cvnisqgh3d7g00bkg4gg,2,2
cvpdjblpebk000bh4rug,2,2
cvnjhq5lhp0g00etup00,2,2
cvvegnicalk000dvsvog,2,2
d4pnjlonnp4g00clp3l0,2,2
d00i062dvnk0009ed9lg,2,2
cvo0bt472f3g00982hig,2,2
cvu202nmrfo000apqrqg,2,2
cvmov2j4giqg00eoccag,2,2
cvvrras72f3g00acb7r0,2,2
cvvrstks10rg00fv10v0,2,2
cvnj7bs72f3g0096j51g,2,2
cvnjikbpp0p000eijac0,2,2
cvmoog15gpjg00cigmpg,2,2
cvvrshcs3cjg00en9sdg,2,2
d05va1p0qf8g00a5mcqg,2,2
d5gpve68nps0009gtllg,2,2
d1133qur45p000dvf580,2,2
cvvrtuegi0og008fib00,2,2
cvv7okjpuid000b4nstg,2,2
cvvs8jrpuid000bb9ii0,2,2
cvnitfejsr2g00fumpp0,2,2
d07q1ltlhp0g009t805g,2,2
d057n3eomc2g00f16jh0,2,2
cvvs386omc2g00ddjs9g,2,2
cvvegrv9vfn000cqn9j0,2,2
cvnb7rl3tiq0008fd9o0,2,2
cvvejbejsr2g008ttoe0,2,2
cvpdksp0qf8g00ffe180,2,2
d07ppkcs3cjg008grtcg,2,2
cvvbn1idvnk00091c000,2,2
cvvs284s3cjg00ena1m0,2,2
cvu25pss3cjg00ebqvcg,2,2
cvvefv2o7i8g008reqig,2,2
d07rgoegi0og00a961qg,2,2
cvvs7p90qf8g008gl0sg,2,2
cvvek6kmmp300089k07g,2,2
d05v9e9ggil000971410,2,2
cvvc5sss10rg00fofu30,2,2
cvnisn5u3ph000aivlf0,2,2
cvveg85pebk000cbtgu0,2,2
cvvs5v9ggil000fi1el0,2,2
cvvbqmks10rg00fofh9g,2,2
cvnj7bfk2lrg00c7ojr0,2,2
cvvbn7bpp0p000fhoun0,2,2
cvvs01lpebk000cidvug,2,2
cvvsios72f3g00acbk1g,2,2
cvvs78eo773g009ts87g,2,2
cv5kv5jfb4500086evj0,2,2
cvvs22du3ph000booa4g,2,2
cvvsg74aa58000ch5nkg,2,2
cvvvcs5aar4g00e6trkg,2,2
cvvejuvmrfo000auserg,2,2
d07pvkgb12i000a3aaj0,2,2
cvnjvnugi0og00f9r89g,2,2
cvvsc5cmmp30008g4vig,2,2
cvvs9vmr7j8g009s8np0,2,2
cvvs3cigb1c000a3mkt0,2,2
d04kc7ejsr2g00ao0tug,2,2
