recordID,s3FilePath,package_id
001f6936-94e6-4f53-9f0d-f3221e3c00ea,s3://enverus-courthouse-prod-chd-plants/nm/eog_lea/001f/001f6936-94e6-4f53-9f0d-f3221e3c00ea.pdf,d9buhardd4a000d6a6h0
0024D9E2-ECD0-447B-872E-1B0A7459389F,s3://enverus-courthouse-prod-chd-plants/tx/training_walker/0024/0024D9E2-ECD0-447B-872E-1B0A7459389F.pdf,d9btvlbte9l000f8cdsg
00493749-adfc-a64b-9f96-68b975ad24df,s3://enverus-courthouse-prod-chd-plants/tx/howard/0049/00493749-adfc-a64b-9f96-68b975ad24df.pdf,d9btrjrs7m5g0088pfag
00b71a31-f6cb-488f-8c83-739b53d91a0a,s3://enverus-courthouse-prod-chd-plants/tx/eog_lasalle/00b7/00b71a31-f6cb-488f-8c83-739b53d91a0a.pdf,d9bsv7030skg00d6o0ag
00e52f5b-a198-11eb-b3cd-00505681224b,s3://enverus-courthouse-prod-chd-plants/nm/eog_lea/00e5/00e52f5b-a198-11eb-b3cd-00505681224b.pdf,d9bu8b5lksng008f9kb0
00FD1499-FD4B-4261-B9FC-CF77B38D172A,s3://enverus-courthouse-prod-chd-plants/tx/training_reeves/00FD/00FD1499-FD4B-4261-B9FC-CF77B38D172A.pdf,d9bufn3s7m5g0089mhqg
0174abc3-e504-4d86-ba99-b074ae770cf6,s3://enverus-courthouse-prod-chd-plants/tx/eog_gonzales/0174/0174abc3-e504-4d86-ba99-b074ae770cf6.pdf,d9buk2gisvug00fulbt0
01a86102-0075-4eb5-a78a-156996531a01,s3://enverus-courthouse-prod-chd-plants/tx/eog_cooke/01a8/01a86102-0075-4eb5-a78a-156996531a01.pdf,d9bu3qbk4o900089e1dg
01DD6938-5244-4FC6-B90F-ED74ABCB7143,s3://enverus-courthouse-prod-chd-plants/tx/training_houston/01DD/01DD6938-5244-4FC6-B90F-ED74ABCB7143.pdf,d9bt3uuicpjg00dbabg0
01f6f9dd-15e6-4672-8dc4-b63bd6359352,s3://enverus-courthouse-prod-chd-plants/tx/eog_cooke/01f6/01f6f9dd-15e6-4672-8dc4-b63bd6359352.pdf,d9bt4sb1f5dg00bd1ong
0212f493-142a-4493-8ab7-027c89ed019a,s3://enverus-courthouse-prod-chd-plants/tx/eog_cooke/0212/0212f493-142a-4493-8ab7-027c89ed019a.pdf,d9bu0os1kr4g008ed1l0
023ee676-5da0-4502-ab06-8c22227ea605,s3://enverus-courthouse-prod-chd-plants/tx/eog_atascosa/023e/023ee676-5da0-4502-ab06-8c22227ea605.pdf,d9btk1m89gsg00fg3m00
027337FC-AEC7-44D5-8BFF-A1F2F1827F54,s3://enverus-courthouse-prod-chd-plants/tx/training_howard/0273/027337FC-AEC7-44D5-8BFF-A1F2F1827F54.pdf,d9bt3qllksng008drfig
