chd_recordID,in_diml_xref,in_cole_logs,package_id,recordID,_ModifiedDateTime,_CreatedDateTime,_modified_date_package_id,package_id_1,inputDataset,OCRErrorMessage,IIEErrorMessage,_OCRModifiedDateTime,_IIEModifiedDateTime,OCRs3Path
00B078E9-923D-4EAB-BC22-173E2CEC72DF,1,1,d0i6lgfo5c2000ekrrkg,00b078e9-923d-4eab-bc22-173e2cec72df,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6lgfo5c2000ekrrkg,d0i6lgfo5c2000ekrrkg,3,,,2025-05-14 06:10:51.547000,2025-05-14 06:37:02.010000,s3://di-diml-silver-prod/d0i6lgfo5c2000ekrrkg/d0i72pcs3cjg0096lco0/d0i6lgfo5c2000ekrrkg.tsv
00BA3E2F-052E-4E2A-94C3-F9ED94B3E490,1,1,d0i6lhfo5c2000ekru4g,00ba3e2f-052e-4e2a-94c3-f9ed94b3e490,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6lhfo5c2000ekru4g,d0i6lhfo5c2000ekru4g,3,,,2025-05-14 06:57:38.507000,2025-05-14 07:17:27.440000,s3://di-diml-silver-prod/d0i6lhfo5c2000ekru4g/d0i74d3pp0p000a7pht0/d0i6lhfo5c2000ekru4g.tsv
00CB9C5B-4CAA-451B-A028-0A412BFF85E8,1,1,d0i6lhg38n7000acebk0,00cb9c5b-4caa-451b-a028-0a412bff85e8,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6lhg38n7000acebk0,d0i6lhg38n7000acebk0,3,,,2025-05-14 06:21:33.477000,2025-05-14 06:41:54.267000,s3://di-diml-silver-prod/d0i6lhg38n7000acebk0/d0i7296qdhp00084c23g/d0i6lhg38n7000acebk0.tsv
00A4F509-52EC-4DA1-91D6-48365FF34010,1,1,d0i6lhmjsr2g00bjclr0,00a4f509-52ec-4da1-91d6-48365ff34010,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6lhmjsr2g00bjclr0,d0i6lhmjsr2g00bjclr0,3,,,2025-05-14 06:21:33.477000,2025-05-14 06:37:02.010000,s3://di-diml-silver-prod/d0i6lhmjsr2g00bjclr0/d0i72sv9vfn000fgjrr0/d0i6lhmjsr2g00bjclr0.tsv
0055B9A4-DD75-4125-8AE6-5E41310632D9,1,1,d0i6lhuo773g00ccohs0,0055b9a4-dd75-4125-8ae6-5e41310632d9,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6lhuo773g00ccohs0,d0i6lhuo773g00ccohs0,3,,,2025-05-14 06:37:21.280000,2025-05-14 06:52:13.470000,s3://di-diml-silver-prod/d0i6lhuo773g00ccohs0/d0i72h527ee0009v68j0/d0i6lhuo773g00ccohs0.tsv
00361B3D-03C1-413B-BFE0-DD121B4C3A4E,1,1,d0i6li6qdhp00083s7k0,00361b3d-03c1-413b-bfe0-dd121b4c3a4e,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6li6qdhp00083s7k0,d0i6li6qdhp00083s7k0,3,,,2025-05-14 06:21:33.477000,2025-05-14 06:37:02.010000,s3://di-diml-silver-prod/d0i6li6qdhp00083s7k0/d0i71eps5hl000fcahc0/d0i6li6qdhp00083s7k0.tsv
00C965B4-A9BF-4482-A46F-A4F729E157BA,1,1,d0i6lid27ee0009um510,00c965b4-a9bf-4482-a46f-a4f729e157ba,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6lid27ee0009um510,d0i6lid27ee0009um510,3,,,2025-05-14 06:16:05.970000,2025-05-14 06:37:02.010000,s3://di-diml-silver-prod/d0i6lid27ee0009um510/d0i70mps5hl000fcacig/d0i6lid27ee0009um510.tsv
01287DCB-0F82-4DFE-BFAD-8403D26D2F9C,1,1,d0i6lig38n7000acee20,01287dcb-0f82-4dfe-bfad-8403d26d2f9c,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6lig38n7000acee20,d0i6lig38n7000acee20,3,,,2025-05-14 06:21:33.477000,2025-05-14 06:37:02.010000,s3://di-diml-silver-prod/d0i6lig38n7000acee20/d0i6s9smmp3000avb1i0/d0i6lig38n7000acee20.tsv
013EDE11-B981-4FFF-BAB5-910338433E43,1,1,d0i6limjsr2g00bjco9g,013ede11-b981-4fff-bab5-910338433e43,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6limjsr2g00bjco9g,d0i6limjsr2g00bjco9g,3,,,2025-05-14 06:16:05.970000,2025-05-14 06:37:02.010000,s3://di-diml-silver-prod/d0i6limjsr2g00bjco9g/d0i70v1s5hl000fcae80/d0i6limjsr2g00bjco9g.tsv
0103CAE3-A182-4145-9662-49BB19CB7CDF,1,1,d0i6litjt2pg00dn1380,0103cae3-a182-4145-9662-49bb19cb7cdf,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6litjt2pg00dn1380,d0i6litjt2pg00dn1380,3,,,2025-05-14 06:32:07.410000,2025-05-14 06:47:06.213000,s3://di-diml-silver-prod/d0i6litjt2pg00dn1380/d0i71jc72f3g00crordg/d0i6litjt2pg00dn1380.tsv
00932E83-4672-4264-8A94-94C0EFFDC59C,1,1,d0i6lj038n7000acefag,00932e83-4672-4264-8a94-94c0effdc59c,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6lj038n7000acefag,d0i6lj038n7000acefag,3,,,2025-05-14 06:47:23.247000,2025-05-14 07:07:24.653000,s3://di-diml-silver-prod/d0i6lj038n7000acefag/d0i73oqcalk0008lrmjg/d0i6lj038n7000acefag.tsv
003556CF-1AA1-4DB7-870B-14EB72816017,1,1,d0i6lj6gi0og00audk9g,003556cf-1aa1-4db7-870b-14eb72816017,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6lj6gi0og00audk9g,d0i6lj6gi0og00audk9g,3,,,2025-05-14 06:37:21.280000,2025-05-14 06:52:13.470000,s3://di-diml-silver-prod/d0i6lj6gi0og00audk9g/d0i71n6qdhp00084bss0/d0i6lj6gi0og00audk9g.tsv
00AB8993-7F1E-4F60-B8E0-91432B0A9BC4,1,1,d0i6ljuo773g00ccomo0,00ab8993-7f1e-4f60-b8e0-91432b0a9bc4,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6ljuo773g00ccomo0,d0i6ljuo773g00ccomo0,3,,,2025-05-14 06:32:07.410000,2025-05-14 06:52:13.470000,s3://di-diml-silver-prod/d0i6ljuo773g00ccomo0/d0i72t0b12i000ap2cs0/d0i6ljuo773g00ccomo0.tsv
008E189C-B820-48A8-8EC5-EB657CFCAD4B,1,1,d0i6lk1s5hl000fbrjvg,008e189c-b820-48a8-8ec5-eb657cfcad4b,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6lk1s5hl000fbrjvg,d0i6lk1s5hl000fbrjvg,3,,,2025-05-14 06:52:33.337000,2025-05-14 07:02:23.803000,s3://di-diml-silver-prod/d0i6lk1s5hl000fbrjvg/d0i72dd27ee0009v67f0/d0i6lk1s5hl000fbrjvg.tsv
0144007C-0D05-4454-8EC6-6ED16CEC5FBC,1,1,d0i6lkl27ee0009um9tg,0144007c-0d05-4454-8ec6-6ed16cec5fbc,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6lkl27ee0009um9tg,d0i6lkl27ee0009um9tg,3,,,2025-05-14 06:16:05.970000,2025-05-14 06:37:02.010000,s3://di-diml-silver-prod/d0i6lkl27ee0009um9tg/d0i745hs5hl000fcbj30/d0i6lkl27ee0009um9tg.tsv
00EA41A4-6C62-4A67-919A-05309DCF63A2,1,1,d0i6ll3kf5cg00e6pl70,00ea41a4-6c62-4a67-919a-05309dcf63a2,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6ll3kf5cg00e6pl70,d0i6ll3kf5cg00e6pl70,3,,,2025-05-14 06:10:51.547000,2025-05-14 06:37:02.010000,s3://di-diml-silver-prod/d0i6ll3kf5cg00e6pl70/d0i6s45lhp0g00aioirg/d0i6ll3kf5cg00e6pl70.tsv
0144F3EA-0B97-4507-8656-3AAA76916BF7,1,1,d0i6ll5u3ph000e7p1ug,0144f3ea-0b97-4507-8656-3aaa76916bf7,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6ll5u3ph000e7p1ug,d0i6ll5u3ph000e7p1ug,3,,,2025-05-14 06:16:05.970000,2025-05-14 06:37:02.010000,s3://di-diml-silver-prod/d0i6ll5u3ph000e7p1ug/d0i71ougi0og00autam0/d0i6ll5u3ph000e7p1ug.tsv
0026B48E-CDC7-4464-98E3-70BD1D74F78F,1,1,d0i6ll7o5c2000eks7vg,0026b48e-cdc7-4464-98e3-70bd1d74f78f,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6ll7o5c2000eks7vg,d0i6ll7o5c2000eks7vg,3,,,2025-05-14 06:10:51.547000,2025-05-14 06:37:02.010000,s3://di-diml-silver-prod/d0i6ll7o5c2000eks7vg/d0i72d527ee0009v67eg/d0i6ll7o5c2000eks7vg.tsv
009654F3-53CA-477A-AEB5-7F9A95FECC7A,1,1,d0i6ller7j8g00cb79hg,009654f3-53ca-477a-aeb5-7f9a95fecc7a,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6ller7j8g00cb79hg,d0i6ller7j8g00cb79hg,3,,,2025-05-14 06:00:36.050000,2025-05-14 06:10:27.760000,s3://di-diml-silver-prod/d0i6ller7j8g00cb79hg/d0i71osclak000dcohfg/d0i6ller7j8g00cb79hg.tsv
000A342F-BDF3-46E5-9B09-EC0256223E39,1,1,d0i6llhggil000a0qoeg,000a342f-bdf3-46e5-9b09-ec0256223e39,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6llhggil000a0qoeg,d0i6llhggil000a0qoeg,3,,,2025-05-14 06:05:36.750000,2025-05-14 06:20:57.877000,s3://di-diml-silver-prod/d0i6llhggil000a0qoeg/d0i73hhggil000a1aps0/d0i6llhggil000a0qoeg.tsv
005E6842-8FD5-4751-9C07-8BF91EB8A6CA,1,1,d0i6llrpp0p000a78qag,005e6842-8fd5-4751-9c07-8bf91eb8a6ca,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6llrpp0p000a78qag,d0i6llrpp0p000a78qag,3,,,2025-05-14 06:32:07.410000,2025-05-14 06:47:06.213000,s3://di-diml-silver-prod/d0i6llrpp0p000a78qag/d0i722cs10rg00aedlc0/d0i6llrpp0p000a78qag.tsv
012786BC-7EA1-4B45-BC06-DDD73B62AF76,1,1,d0i6llv9vfn000fg417g,012786bc-7ea1-4b45-bc06-ddd73b62af76,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6llv9vfn000fg417g,d0i6llv9vfn000fg417g,3,,,2025-05-14 06:10:51.547000,2025-05-14 06:15:41.887000,s3://di-diml-silver-prod/d0i6llv9vfn000fg417g/d0i73h0sssgg00895ltg/d0i6llv9vfn000fg417g.tsv
01236BC6-6E0B-45A5-81EE-2E72E45D7E63,1,1,d0i6lmmo773g00ccossg,01236bc6-6e0b-45a5-81ee-2e72e45d7e63,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6lmmo773g00ccossg,d0i6lmmo773g00ccossg,3,,,2025-05-14 06:32:07.410000,2025-05-14 06:52:13.470000,s3://di-diml-silver-prod/d0i6lmmo773g00ccossg/d0i7394aa58000f0emb0/d0i6lmmo773g00ccossg.tsv
010A199C-50EF-4180-B0BD-F7CB815B7D40,1,1,d0i6lnmgi0og00audvf0,010a199c-50ef-4180-b0bd-f7cb815b7d40,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6lnmgi0og00audvf0,d0i6lnmgi0og00audvf0,3,,,2025-05-14 06:37:21.280000,2025-05-14 06:52:13.470000,s3://di-diml-silver-prod/d0i6lnmgi0og00audvf0/d0i72j1ggil000a1ae9g/d0i6lnmgi0og00audvf0.tsv
00D5093F-EBD9-4649-BCD7-53242B1D6F4F,1,1,d0i6loao7i8g00bh23mg,00d5093f-ebd9-4649-bcd7-53242b1d6f4f,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6loao7i8g00bh23mg,d0i6loao7i8g00bh23mg,3,,,2025-05-14 06:57:38.507000,2025-05-14 07:17:27.440000,s3://di-diml-silver-prod/d0i6loao7i8g00bh23mg/d0i776djt2pg00dnjq6g/d0i6loao7i8g00bh23mg.tsv
001C713A-2EBE-4B32-BE70-7A166AE19C8C,1,1,d0i6loao7i8g00bh23n0,001c713a-2ebe-4b32-be70-7a166ae19c8c,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6loao7i8g00bh23n0,d0i6loao7i8g00bh23n0,3,,,2025-05-14 06:00:36.050000,2025-05-14 06:31:43.773000,s3://di-diml-silver-prod/d0i6loao7i8g00bh23n0/d0i73hd27ee0009v6kf0/d0i6loao7i8g00bh23n0.tsv
00846976-963B-483E-AE4F-8E52C27B2B4E,1,1,d0i6lojpp0p000a790eg,00846976-963b-483e-ae4f-8e52c27b2b4e,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6lojpp0p000a790eg,d0i6lojpp0p000a790eg,3,,,2025-05-14 06:42:21.903000,2025-05-14 07:02:23.803000,s3://di-diml-silver-prod/d0i6lojpp0p000a790eg/d0i74f9ggil000a1b8l0/d0i6lojpp0p000a790eg.tsv
008565B3-9D43-4A68-8E03-1D986EE06510,1,1,d0i6lojpp0p000a790f0,008565b3-9d43-4a68-8e03-1d986ee06510,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6lojpp0p000a790f0,d0i6lojpp0p000a790f0,3,,,2025-05-14 06:32:07.410000,2025-05-14 06:52:13.470000,s3://di-diml-silver-prod/d0i6lojpp0p000a790f0/d0i736sclak000dcov6g/d0i6lojpp0p000a790f0.tsv
01083344-8700-4AC3-8847-C021C30A18DA,1,1,d0i6lomr7j8g00cb7i2g,01083344-8700-4ac3-8847-c021c30a18da,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6lomr7j8g00cb7i2g,d0i6lomr7j8g00cb7i2g,3,,,2025-05-14 06:16:05.970000,2025-05-14 06:37:02.010000,s3://di-diml-silver-prod/d0i6lomr7j8g00cb7i2g/d0i6s8ao7i8g00bhaj90/d0i6lomr7j8g00cb7i2g.tsv
001109E2-839D-4CA1-94D5-824432C55478,1,1,d0i6lops5hl000fbs09g,001109e2-839d-4ca1-94d5-824432c55478,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6lops5hl000fbs09g,d0i6lops5hl000fbs09g,3,,,2025-05-14 06:32:07.410000,2025-05-14 06:47:06.213000,s3://di-diml-silver-prod/d0i6lops5hl000fbs09g/d0i735mqdhp00084cc10/d0i6lops5hl000fbs09g.tsv
00545496-149B-4061-84A2-F0CA0A6DCADD,1,1,d0i6lp6r7j8g00cb7jc0,00545496-149b-4061-84a2-f0ca0a6dcadd,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6lp6r7j8g00cb7jc0,d0i6lp6r7j8g00cb7jc0,3,,,2025-05-14 06:32:07.410000,2025-05-14 06:47:06.213000,s3://di-diml-silver-prod/d0i6lp6r7j8g00cb7jc0/d0i71brpp0p000a7of1g/d0i6lp6r7j8g00cb7jc0.tsv
0018FD35-26DF-4549-BF53-8DA825D61DDA,1,1,d0i6lq4mmp3000av2i50,0018fd35-26df-4549-bf53-8da825d61dda,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6lq4mmp3000av2i50,d0i6lq4mmp3000av2i50,3,,,2025-05-14 06:32:07.410000,2025-05-14 06:52:13.470000,s3://di-diml-silver-prod/d0i6lq4mmp3000av2i50/d0i75tcclak000dcqdeg/d0i6lq4mmp3000av2i50.tsv
01263A8B-ECCA-42BA-B11A-222832D0B091,1,1,d0i6lq6jsr2g00bjdbug,01263a8b-ecca-42ba-b11a-222832d0b091,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6lq6jsr2g00bjdbug,d0i6lq6jsr2g00bjdbug,3,,,2025-05-14 06:10:51.547000,2025-05-14 06:37:02.010000,s3://di-diml-silver-prod/d0i6lq6jsr2g00bjdbug/d0i6t2mgi0og00auo9d0/d0i6lq6jsr2g00bjdbug.tsv
001D3D01-9BE9-4B71-9A17-296B757A9088,1,1,d0i6lqeqdhp00083ssbg,001d3d01-9be9-4b71-9a17-296b757a9088,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6lqeqdhp00083ssbg,d0i6lqeqdhp00083ssbg,3,,,2025-05-14 05:49:55.220000,2025-05-14 06:00:09.373000,s3://di-diml-silver-prod/d0i6lqeqdhp00083ssbg/d0i6srdpebk000f1m66g/d0i6lqeqdhp00083ssbg.tsv
0145954A-C0C2-4152-A89D-13E7FCED9447,1,1,d0i6lqks10rg00adufgg,0145954a-c0c2-4152-a89d-13e7fced9447,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420000,2025-05-14 05:05:45.420d0i6lqks10rg00adufgg,d0i6lqks10rg00adufgg,3,,,2025-05-14 06:42:21.903000,2025-05-14 06:57:13.630000,s3://di-diml-silver-prod/d0i6lqks10rg00adufgg/d0i6v9gsssgg00893ni0/d0i6lqks10rg00adufgg.tsv
