state_name,created_month,mappings_created,later_revised
California,2025-09-01,19,0
Texas,2025-08-01,5336,55
Oklahoma,2025-08-01,2123,21
West Virginia,2025-08-01,1916,1
North Dakota,2025-08-01,1665,40
Pennsylvania,2025-08-01,1467,0
Ohio,2025-08-01,962,13
Louisiana,2025-08-01,610,3
Montana,2025-08-01,550,0
New Mexico,2025-08-01,548,0
Arkansas,2025-08-01,370,0
Wyoming,2025-08-01,305,0
Kansas,2025-08-01,178,20
Colorado,2025-08-01,152,1
Utah,2025-08-01,27,0
Michigan,2025-08-01,6,0
West Virginia,2025-07-01,8002,217
Texas,2025-07-01,5288,140
Ohio,2025-07-01,2974,75
Pennsylvania,2025-07-01,2682,71
Oklahoma,2025-07-01,2640,194
North Dakota,2025-07-01,1850,18
Montana,2025-07-01,1111,32
Colorado,2025-07-01,1053,36
Louisiana,2025-07-01,866,53
Arkansas,2025-07-01,452,2
New Mexico,2025-07-01,381,0
Wyoming,2025-07-01,378,6
Utah,2025-07-01,101,0
Kansas,2025-07-01,101,7
California,2025-07-01,26,0
Mississippi,2025-07-01,21,0
Michigan,2025-07-01,13,1
Texas,2025-06-01,4739,117
West Virginia,2025-06-01,3315,64
Oklahoma,2025-06-01,2291,49
Pennsylvania,2025-06-01,2004,32
North Dakota,2025-06-01,1725,16
Ohio,2025-06-01,1458,71
Arkansas,2025-06-01,695,21
Montana,2025-06-01,685,20
Colorado,2025-06-01,533,2
Louisiana,2025-06-01,493,7
New Mexico,2025-06-01,293,2
Wyoming,2025-06-01,280,2
Kansas,2025-06-01,126,7
Mississippi,2025-06-01,92,0
Utah,2025-06-01,91,0
California,2025-06-01,63,42
Michigan,2025-06-01,32,0
West Virginia,2025-05-01,5830,302
Texas,2025-05-01,4412,109
Oklahoma,2025-05-01,3527,58
Ohio,2025-05-01,3522,142
Pennsylvania,2025-05-01,3419,39
North Dakota,2025-05-01,1168,3
Montana,2025-05-01,697,43
Arkansas,2025-05-01,504,1
Wyoming,2025-05-01,493,16
New Mexico,2025-05-01,442,3
Colorado,2025-05-01,380,26
Kansas,2025-05-01,188,13
California,2025-05-01,149,57
Utah,2025-05-01,47,0
Louisiana,2025-05-01,19,2
Michigan,2025-05-01,10,1
North Dakota,2025-04-01,8491,378
West Virginia,2025-04-01,6066,135
Oklahoma,2025-04-01,4590,158
Texas,2025-04-01,3543,134
Ohio,2025-04-01,2331,26
Pennsylvania,2025-04-01,1250,28
Arkansas,2025-04-01,1166,3
Wyoming,2025-04-01,997,100
Louisiana,2025-04-01,664,33
Colorado,2025-04-01,522,19
New Mexico,2025-04-01,308,7
Montana,2025-04-01,250,15
Kansas,2025-04-01,141,17
Michigan,2025-04-01,76,23
Utah,2025-04-01,43,0
Texas,2025-03-01,4810,153
West Virginia,2025-03-01,4488,189
Oklahoma,2025-03-01,2795,34
Ohio,2025-03-01,2486,80
Pennsylvania,2025-03-01,1323,124
Montana,2025-03-01,809,5
Louisiana,2025-03-01,495,30
New Mexico,2025-03-01,414,10
Wyoming,2025-03-01,363,22
Colorado,2025-03-01,258,12
Kansas,2025-03-01,184,16
North Dakota,2025-03-01,170,7
Utah,2025-03-01,126,0
Michigan,2025-03-01,56,4
Nevada,2025-03-01,54,0
Arkansas,2025-03-01,27,3
Mississippi,2025-03-01,23,0
Texas,2025-02-01,7145,157
Oklahoma,2025-02-01,5243,68
Pennsylvania,2025-02-01,1503,129
West Virginia,2025-02-01,1456,58
Ohio,2025-02-01,837,33
Montana,2025-02-01,744,37
Louisiana,2025-02-01,339,26
Arkansas,2025-02-01,322,7
North Dakota,2025-02-01,226,0
New Mexico,2025-02-01,194,14
Wyoming,2025-02-01,174,12
Utah,2025-02-01,84,0
Colorado,2025-02-01,71,16
California,2025-02-01,49,14
Kansas,2025-02-01,12,0
Mississippi,2025-02-01,2,0
West Virginia,2025-01-01,6921,217
Texas,2025-01-01,4313,93
Pennsylvania,2025-01-01,3506,138
Ohio,2025-01-01,3318,34
Oklahoma,2025-01-01,2801,30
Montana,2025-01-01,1667,40
Louisiana,2025-01-01,1175,44
Arkansas,2025-01-01,609,4
Colorado,2025-01-01,571,29
New Mexico,2025-01-01,421,1
Kansas,2025-01-01,381,5
North Dakota,2025-01-01,349,14
Utah,2025-01-01,269,0
Wyoming,2025-01-01,184,0
Michigan,2025-01-01,74,1
Texas,2024-12-01,2557,102
West Virginia,2024-12-01,1792,13
Ohio,2024-12-01,1665,16
Oklahoma,2024-12-01,1605,25
Montana,2024-12-01,475,53
New Mexico,2024-12-01,274,27
Pennsylvania,2024-12-01,243,0
North Dakota,2024-12-01,187,4
Louisiana,2024-12-01,181,0
Colorado,2024-12-01,135,7
Wyoming,2024-12-01,134,1
Utah,2024-12-01,104,0
Arkansas,2024-12-01,79,3
Kansas,2024-12-01,26,1
California,2024-12-01,8,0
Michigan,2024-12-01,7,3
West Virginia,2024-11-01,6111,149
Texas,2024-11-01,3587,39
Ohio,2024-11-01,3130,56
Pennsylvania,2024-11-01,2839,21
Oklahoma,2024-11-01,1405,40
Louisiana,2024-11-01,1336,18
Montana,2024-11-01,882,18
Colorado,2024-11-01,565,5
North Dakota,2024-11-01,545,2
Wyoming,2024-11-01,523,24
Arkansas,2024-11-01,522,40
Utah,2024-11-01,335,1
New Mexico,2024-11-01,260,5
Kansas,2024-11-01,197,2
California,2024-11-01,61,31
