recordID,stateAbbreviation,countyName,cstitle_instrument,leaseId,div1_instrument,div1_category,div1_short_text,div1_lease_updated,div1_svg_updated,div1_reason
147408fb-ca78-41eb-bb08-e5ad07a349cc,PA,Washington,OGLAMD,4893932,10,9,Oil Field Services,2023-01-23 02:04:20.763,2023-03-01 03:38:48.237,Div1 category <> 2 (not treated as a lease)
147408fb-ca78-41eb-bb08-e5ad07a349cc,PA,Washington,OGLAMD,4893932,10,3,Hydraulic Pumping Unit,2023-01-23 02:04:20.763,2023-03-01 03:38:48.237,Div1 category <> 2 (not treated as a lease)
147408fb-ca78-41eb-bb08-e5ad07a349cc,PA,Washington,OGLAMD,4893932,10,1,plugged oil/gas well,2023-01-23 02:04:20.763,2023-03-01 03:38:48.237,Div1 category <> 2 (not treated as a lease)
147408fb-ca78-41eb-bb08-e5ad07a349cc,PA,Washington,OGLAMD,4893932,10,8,Oil & Gas Purchasing/Marketing,2023-01-23 02:04:20.763,2023-03-01 03:38:48.237,Div1 category <> 2 (not treated as a lease)
147408fb-ca78-41eb-bb08-e5ad07a349cc,PA,Washington,OGLAMD,4893932,10,7,Other,2023-01-23 02:04:20.763,2023-03-01 03:38:48.237,Div1 category <> 2 (not treated as a lease)
147408fb-ca78-41eb-bb08-e5ad07a349cc,PA,Washington,OGLAMD,4893932,10,6,scrubber oil,2023-01-23 02:04:20.763,2023-03-01 03:38:48.237,Div1 category <> 2 (not treated as a lease)
147408fb-ca78-41eb-bb08-e5ad07a349cc,PA,Washington,OGLAMD,4893932,10,10,Prod 88: (Paid Up) (Rev. 4-89) w/ 640 Pooling,2023-01-23 02:04:20.763,2023-03-01 03:38:48.237,Div1 category <> 2 (not treated as a lease)
f98d1a0d-f424-4c8c-8e78-8940fc64ef3a,TX,Guadalupe,OGL,4989831,0,6,unknown,2023-11-28 23:05:38.993,NULL,Div1 category <> 2 (not treated as a lease)
f98d1a0d-f424-4c8c-8e78-8940fc64ef3a,TX,Guadalupe,OGL,4989831,0,10,Not Selected,2023-11-28 23:05:38.993,NULL,Div1 category <> 2 (not treated as a lease)
ea719dca-edf2-4e41-baca-a36f8e489698,TX,McMullen,OGL,4245391,0,6,unknown,2019-12-25 17:32:19.517,2018-04-12 03:38:17.960,Div1 category <> 2 (not treated as a lease)
ea719dca-edf2-4e41-baca-a36f8e489698,TX,McMullen,OGL,4245391,0,10,Not Selected,2019-12-25 17:32:19.517,2018-04-12 03:38:17.960,Div1 category <> 2 (not treated as a lease)
c723fc9a-2d40-45e0-8b72-006b9121ac87,TX,McMullen,MOGL,4233745,1,4,Unknown,2018-01-29 23:54:34.620,2018-02-21 15:08:25.497,Div1 category <> 2 (not treated as a lease)
c723fc9a-2d40-45e0-8b72-006b9121ac87,TX,McMullen,MOGL,4233745,1,5,Oil,2018-01-29 23:54:34.620,2018-02-21 15:08:25.497,Div1 category <> 2 (not treated as a lease)
c723fc9a-2d40-45e0-8b72-006b9121ac87,TX,McMullen,MOGL,4233745,1,3,Tank,2018-01-29 23:54:34.620,2018-02-21 15:08:25.497,Div1 category <> 2 (not treated as a lease)
995fc18f-f9ed-4ddb-a8f7-28a193867820,TX,McMullen,MOGL,4238366,1,4,Unknown,2019-06-19 13:39:41.050,2018-04-11 03:39:06.473,Div1 category <> 2 (not treated as a lease)
