Directory,Size_Bytes
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1cf3,6793518
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1cf4,6086150
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1cf5,4317146
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1cf6,42545545
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1cf7,4764866
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1cf8,11085350
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1cf9,5853981
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1cfa,5256781
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1cfb,9859100
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1cfc,9210390
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1cfd,8890607
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1cfe,15633507
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1cff,11711245
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d00,19581561
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d01,13759556
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d02,9893105
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d03,8103844
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d04,19459625
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d05,16186616
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d06,11687688
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d07,18566354
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d08,5434331
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d09,30763862
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d0a,2344744
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d0b,3478737
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d0c,1884426
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d0d,8829115
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d0e,18740723
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d0f,3891910
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d10,15541880
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d11,8391354
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d12,6640806
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d13,15222380
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d14,2136952
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d15,8860265
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d16,14526734
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d17,9103051
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d18,2571782
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d19,22825430
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d1a,9636524
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d1b,8277521
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d1c,5102828
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d1d,45140131
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d1e,1925879
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d1f,11755157
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d20,6661030
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d21,6599382
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d22,18527920
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d23,14282228
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d24,7202383
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d25,23621547
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d26,47378262
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d27,2955823
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d28,6118707
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d29,11675976
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d2a,12877725
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d2b,1658047
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d2c,26977704
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d2d,21612165
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d2e,4865492
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d2f,3999766
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d30,573127
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d31,9393110
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d32,34056753
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d33,6582376
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d34,5030789
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d35,9390712
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d36,6301778
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d37,26290701
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d38,8648874
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d39,13905752
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d3a,21077507
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d3b,21743374
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d3c,1575955
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d3d,10953823
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d3e,30316679
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d3f,18446538
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d40,8080425
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d41,39369674
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d42,42079659
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d43,23046773
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d44,13257238
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d45,4073380
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d46,7336596
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d47,11877133
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d48,14521219
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d49,9446487
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d4a,3872542
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d4b,22699936
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d4c,34896005
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d4d,5924434
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d4e,14284673
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d4f,51545710
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d50,5414215
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d51,17132187
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d52,9509072
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d53,15514378
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d54,20539423
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d55,7435001
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d56,7264883
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d57,12712670
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d58,5740885
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d59,11201592
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d5a,18560169
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d5b,6154542
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d5c,15120717
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d5d,16497162
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d5e,15223656
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d5f,15474853
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d60,4201405
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d61,20707942
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d62,8034623
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d63,7189383
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d64,22380019
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d65,14411776
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d66,11880878
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d67,4737239
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d68,13692167
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d69,23365344
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d6a,20469041
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d6b,14037500
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d6c,8649089
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d6d,9499665
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d6e,6161954
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d6f,20016570
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d70,15283288
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d71,13989077
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d72,53571828
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d73,11733139
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d74,17591215
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d75,11455360
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d76,4755751
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d77,25817076
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d78,10456649
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d79,2197294
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d7a,10320435
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d7b,12963411
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d7c,26515057
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d7d,10363026
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d7e,23460990
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d7f,7024621
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d80,3937251
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d81,19804438
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d82,15545597
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d83,6803606
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d84,34165634
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d85,12357377
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d86,15332489
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d87,7665895
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d88,25877441
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d89,7075810
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d8a,12160538
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d8b,24110161
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d8c,18717723
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d8d,4552816
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d8e,32329161
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d8f,3762907
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d90,22948009
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d91,11695508
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d92,3042886
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d93,18184063
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d94,256318936
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d95,9643756
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d96,9368832
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d97,11376154
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d98,1909364
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d99,13711763
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d9a,12879110
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d9b,13824865
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d9c,13272213
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d9d,4097496
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d9e,27807136
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1d9f,25510879
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1da0,5362214
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1da1,11796325
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1da2,4678799
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1da3,7033009
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1da4,24041770
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1da5,7942949
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1da6,16276841
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1da7,22342609
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1da8,16826382
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1da9,12504728
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1daa,11760959
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dab,4910592
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dac,4559850
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dad,5938741
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dae,6111859
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1daf,9434872
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1db0,10579351
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1db1,13698431
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1db2,16500158
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1db3,6577210
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1db4,11228086
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1db5,8132176
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1db6,6587549
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1db7,23022577
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1db8,10431027
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1db9,2148506
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dba,20492823
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dbb,44298614
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dbc,16601345
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dbd,4871373
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dbe,1758206
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dbf,11536775
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dc0,15333821
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dc1,5568733
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dc2,25529985
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dc3,8008009
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dc4,11345819
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dc5,29419859
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dc6,7100320
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dc7,39003496
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dc8,8038718
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dc9,3872389
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dca,11374015
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dcb,3420721
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dcc,11359708
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dcd,9536708
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dce,27683457
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dcf,10718411
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dd0,20316021
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dd1,22360912
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dd2,6224099
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dd3,11646201
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dd4,8564820
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dd5,15583876
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dd6,19344537
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dd7,4618688
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dd8,37608128
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dd9,3935284
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dda,33637624
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1ddb,8503307
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1ddc,43408429
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1ddd,14447078
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dde,5749147
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1ddf,52008591
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1de0,3787318
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1de1,3276257
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1de2,20557831
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1de3,22758732
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1de4,4154960
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1de5,15409709
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1de6,424442
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1de7,9316691
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1de8,66619417
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1de9,6783253
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dea,8494195
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1deb,9759042
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dec,5524535
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1ded,28438127
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dee,8679566
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1def,26574499
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1df0,18979712
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1df1,29174522
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1df2,30044558
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1df3,8464825
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1df4,36183632
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1df5,33997788
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1df6,5552339
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1df7,3707241
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1df8,14265814
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1df9,3753285
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dfa,10799303
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dfb,27973059
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dfc,27540799
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dfd,7283613
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dfe,17074075
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1dff,9892902
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e00,29564252
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e01,29296391
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e02,17767982
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e03,6873351
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e04,3587057
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e05,29248726
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e06,5358095
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e07,19309068
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e08,5147175
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e09,3645619
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e0a,10543979
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e0b,12099260
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e0c,6501030
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e0d,7757208
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e0e,36340430
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e0f,10774894
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e10,23682612
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e11,6428621
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e12,10380616
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e13,18984314
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e14,13191016
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e15,6857335
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e16,10681914
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e17,3741662
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e18,14012259
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e19,16967999
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e1a,7421603
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e1b,4861327
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e1c,6982832
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e1d,9915285
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e1e,18130385
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e1f,5445806
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e20,18272914
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e21,5531163
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e22,14954241
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e23,18204723
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e24,12056548
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e25,23967392
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e26,13384652
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e27,3873735
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e28,15761388
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e29,6155832
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e2a,4616335
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e2b,10034809
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e2c,23059964
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\1e2d,9452331
