Directory,Size_Bytes
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\004a,2190959
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\004b,661965
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\004c,8210724
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\004d,10793670
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\004e,4841574
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\004f,15201744
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0050,5482351
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0051,28492701
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0052,65505613
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0053,17157580
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0054,15696236
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0055,10880424
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0056,18069676
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0057,18540069
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0058,6629129
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0059,15316351
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\005a,7002952
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\005b,15221368
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\005c,11499662
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\005d,7654705
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\005e,2254740
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\005f,56916870
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0060,6572496
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0061,6184484
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0062,8368142
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0063,436841
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0064,10696072
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0065,10126247
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0066,17107447
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0067,2007956
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0068,1021076
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0069,5587679
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\006a,3212650
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\006b,8671882
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\006c,9502039
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\006d,5267161
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\006e,14010203
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\006f,5077242
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0070,1253819
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0071,18453266
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0072,28454106
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0073,18069286
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0074,11560888
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0075,18707729
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0076,7719405
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0077,1246050
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0078,9851028
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0079,806655
