RecordID,CountyID,LandDescriptionID,BriefLegal,Subdivision,Lot,Block,AbstractName,AcreageByTract,QuarterCalls,Remarks
9ba12178-cd35-498d-927a-e2f68abd4e06,221,e072fcfc-763e-48ba-95d5-87e0557a234a,COUNTRYSIDE NORTH ADDITION C 22,COUNTRYSIDE NORTH ADDITION,22,C,NULL,NULL,NULL,NULL
92c0070b-468f-4e5b-ac25-3cfd49d308bd,221,e076cbb1-b5fd-4ded-9b1e-60a0108fe5a7,DEER MOUNTAIN ESTATES SUBDIVISION 2C,DEER MOUNTAIN ESTATES SUBDIVISION,2C,NULL,NULL,NULL,NULL,NULL
8e6bcd10-304d-40f1-9a77-6d88ccfdf607,221,e08c8617-360c-445a-a0ad-d2e512ae7cd0,VOL MARTINS ADDITION C 9,VOL MARTINS ADDITION,9,C,NULL,NULL,NULL,NULL
534cb6ed-0370-45ad-91c6-fd039ce03e7e,221,e08f475e-9710-4f86-845d-0a6203dcc1fc,PHILLIPS SUBDIVISION 4,PHILLIPS SUBDIVISION,4,NULL,NULL,NULL,NULL,NULL
4f54c1c3-aa12-4066-89ee-6a39d115b0a1,221,e0915f1b-d6c5-4092-92ab-eb01ddfc755f,ABILENE PLAZA ADDITION CONTINUATION 1 D 2 0.8160 acres,ABILENE PLAZA ADDITION CONTINUATION 1,2,D,NULL,0.8160,NULL,NULL
347766d7-caf2-478f-a87f-cb27e3f331a8,221,e0970d5f-af5b-478a-8159-9043f17f9e79,TEXAS AND PACIFIC RAILWAY COMPANY 28 17 234.0000 acres,NULL,NULL,NULL,NULL,234.0000,NULL,NULL
27d271d4-d2eb-4def-b727-8e9cd04768f1,221,e0a527e6-f79f-4514-8a78-fc9231750c38,S40' LT3 BK 8 BELLEVUE RIDGE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
74a6d7a5-7b5d-45c2-83fa-745bcee1affb,221,e0a59a58-b984-466a-950f-02ece9f7df49,1AC 10AC N/PT W J REDDELL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
360b9390-1726-4484-8918-6ce425f17050,221,e0a98c6d-88f6-4433-b3fc-119d1283a015,15691.42,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6dd8d3e4-c071-4752-bae3-a6cca45cb3e3,221,e0ac3f23-7aed-4943-829c-edd9f6961eba,SAYLES AND HUGHES BUTTERNUT ADDITION 6 3,SAYLES AND HUGHES BUTTERNUT ADDITION,3,6,NULL,NULL,NULL,NULL
dbc50882-a8ae-410b-a844-f7d69d3d55d9,221,e0af90b4-d4e7-4845-87bc-bf63f023e371,16757.26,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c7ccda44-64cf-423b-b7cd-00878779b45f,221,e0b3419f-07e6-483e-8b5a-12589b46a3a3,62.83,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6f4f3a20-e120-476f-9b88-a7ede990a9c6,221,e0b6a260-2e3a-412e-8134-f1bed044f782,MINERAL WELLS ADDITION 3 9,MINERAL WELLS ADDITION,9,3,NULL,NULL,NULL,NULL
bb80e40f-7040-4cce-9c23-b62e2dd24e1e,221,e0b7ff66-eee8-424b-b15e-645298ed2592,SOUTHERN SANDS ADDITION SECTION 1 6 9,SOUTHERN SANDS ADDITION SECTION 1,9,6,NULL,NULL,NULL,NULL
487100b6-76ae-43dd-98fa-b9863610d894,221,e0bdee5c-996d-4f77-90df-a8d7f247ba9b,3508.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL
77632c79-cdc2-4b53-a697-1a732ef96d9b,221,e0c5a72b-b0d1-416a-9a96-47b7ac1c73a6,33.83AC DAVID T BRUCE 135,NULL,NULL,NULL,NULL,NULL,NULL,NULL
cd6de5f8-8023-4eaf-a83a-e3743c23cb61,221,e0c98991-ae38-4052-ac96-842cd1cd0693,387.69,NULL,NULL,NULL,NULL,NULL,NULL,NULL
063f48cb-abdb-49d7-88db-59942cf69f2d,221,e0cb37d3-ff01-4149-b1af-c3a041b0dfce,CRAYTON JR              00020,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c636c58a-6c01-4421-a6ee-69415a27512f,221,e0d18f2a-47c5-42b0-bd38-3252abc4436b,LAS SOMBRAS ADDITION 100,LAS SOMBRAS ADDITION,100,NULL,NULL,NULL,NULL,NULL
fbc14373-411b-44bc-b401-72cfb58a118d,221,e0d93343-d9be-42b1-97c7-681ee1552dc5,LAL 15 E2 15.2000 acres,NULL,NULL,NULL,NULL,15.2000,E2,NULL
bc5f19a5-1866-46c7-bed8-ff279ca1998d,221,e0de40d2-eee1-450e-89dc-73017e31f267,SAYLES BOULEVARD ESTATES ADDITION 2 6,SAYLES BOULEVARD ESTATES ADDITION,6,2,NULL,NULL,NULL,NULL
b44a474f-6eaf-4323-b63a-a23dad200ce9,221,e0e19188-c886-4680-b81a-bf2949214a4d,SOUTHERN PACIFIC RAILROAD COMPANY 23 2 10.7000 acres,NULL,NULL,NULL,NULL,10.7000,NULL,NULL
dde9ea27-b1b3-4bb7-b21f-6628b8de9a80,221,e07a46f5-7213-4892-82bc-f898bcc284b1,ATLAS MACHINE AND WELDING INC ADDITION 1 3,ATLAS MACHINE AND WELDING INC ADDITION,3,1,NULL,NULL,NULL,NULL
56fff801-4dd3-4ce1-96e5-579d5115c749,221,e07d68d9-d6ae-4a73-b2b3-6b46f2d43341,6648.28,NULL,NULL,NULL,NULL,NULL,NULL,NULL
608d09d6-fd51-4115-883f-04d69f0cace0,221,e07f2229-5cbc-4de2-896b-daef47a70d7a,VOL 867 PAGE 797,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a59db393-8d1b-43e2-bece-8a582d387d67,221,e082c788-8efd-453e-8906-bfa935cf764f,119.79,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1229cd14-96d6-422d-abe1-f85953c4c288,221,e084c360-e8fe-49fd-9de6-feed9274f88c,ROYAL HEIGHTS ADDITION 104,ROYAL HEIGHTS ADDITION,104,NULL,NULL,NULL,NULL,NULL
09121814-8d75-4475-8773-3e3affbcccd5,221,e089c9ff-18ce-4e36-ab38-ee9ebcc32126,PT LT1 BK 22 CT SCOTT HIGHWAY PLACE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
