recordID,CountyID,CountyName,StateAbbreviation,recordNumber,fileDate,statusID,originalFileName,storageFilePath
62985a21-be98-4581-b388-fa621b70f24b,184,Parker,TX,202213611,2022-04-08 00:00:00,17,62985a21-be98-4581-b388-fa621b70f24b,\\aus2-cs-fss01.na.drillinginfo.com\CS_TitleImages\CountyScansTitleImages\gpdm_imagestore\PARKER_IMAGES\6298
62ca3eb7-5832-454a-9430-194322d4f2b2,184,Parker,TX,202207742,2022-03-01 00:00:00,17,62ca3eb7-5832-454a-9430-194322d4f2b2,\\aus2-cs-fss01.na.drillinginfo.com\CS_TitleImages\CountyScansTitleImages\gpdm_imagestore\PARKER_IMAGES\62CA
641d8ef8-902a-457d-92c7-83bd9a97d4a0,184,Parker,TX,202216463,2022-04-29 00:00:00,17,641d8ef8-902a-457d-92c7-83bd9a97d4a0,\\aus2-cs-fss01.na.drillinginfo.com\CS_TitleImages\CountyScansTitleImages\gpdm_imagestore\PARKER_IMAGES\641D
64a9abe2-0636-4ce6-8622-e4f69ea8194d,184,Parker,TX,202209942,2022-03-15 00:00:00,17,64a9abe2-0636-4ce6-8622-e4f69ea8194d,\\aus2-cs-fss01.na.drillinginfo.com\CS_TitleImages\CountyScansTitleImages\gpdm_imagestore\PARKER_IMAGES\64A9
655c59cf-d2d3-425a-b370-aa8808c8c725,184,Parker,TX,202210131,2022-03-16 00:00:00,17,655c59cf-d2d3-425a-b370-aa8808c8c725,\\aus2-cs-fss01.na.drillinginfo.com\CS_TitleImages\CountyScansTitleImages\gpdm_imagestore\PARKER_IMAGES\655C
6b308da1-19f7-43b4-a4a0-38b09e81685a,184,Parker,TX,202210547,2022-03-18 00:00:00,17,6b308da1-19f7-43b4-a4a0-38b09e81685a,\\aus2-cs-fss01.na.drillinginfo.com\CS_TitleImages\CountyScansTitleImages\gpdm_imagestore\PARKER_IMAGES\6B30
6d627a83-ff26-4e7d-8029-4a40414f851d,184,Parker,TX,202209783,2022-03-15 00:00:00,17,6d627a83-ff26-4e7d-8029-4a40414f851d,\\aus2-cs-fss01.na.drillinginfo.com\CS_TitleImages\CountyScansTitleImages\gpdm_imagestore\PARKER_IMAGES\6D62
6dda1754-3da1-4031-9681-13f4f17ba274,184,Parker,TX,202216102,2022-04-27 00:00:00,17,6dda1754-3da1-4031-9681-13f4f17ba274,\\aus2-cs-fss01.na.drillinginfo.com\CS_TitleImages\CountyScansTitleImages\gpdm_imagestore\PARKER_IMAGES\6DDA
7104b862-7e9a-43cd-8e76-272e10707a42,184,Parker,TX,202212523,2022-04-01 00:00:00,17,7104b862-7e9a-43cd-8e76-272e10707a42,\\aus2-cs-fss01.na.drillinginfo.com\CS_TitleImages\CountyScansTitleImages\gpdm_imagestore\PARKER_IMAGES\7104
7b3c4bf1-884a-4a1b-9e8f-fc653c1dc7bc,184,Parker,TX,202213308,2022-04-07 00:00:00,17,7b3c4bf1-884a-4a1b-9e8f-fc653c1dc7bc,\\aus2-cs-fss01.na.drillinginfo.com\CS_TitleImages\CountyScansTitleImages\gpdm_imagestore\PARKER_IMAGES\7B3C
