RecordID,in_CS_Digital,in_countyScansTitle,in_courthousedirecttitle,verdict
cdf82fae-af20-4009-941a-6ac0b51602fa,NO,NO,NO,true_orphan
2edce4b2-054e-439b-9a44-8c0ed0b505fc,NO,NO,NO,true_orphan
43ed841d-968d-4c15-8e8d-1cb906045f33,NO,NO,NO,true_orphan
46c2084e-a223-407c-bda2-2a00ac3ad9b5,NO,NO,NO,true_orphan
2259fa61-2ede-4e05-b603-a3545cacb0c5,NO,NO,NO,true_orphan
58ffd58b-e725-45a4-8929-57da267c3845,NO,NO,NO,true_orphan
8fe565bd-bcfc-4661-8dd9-0927cb61e337,NO,NO,NO,true_orphan
7b319584-c74c-4f61-96eb-691a71a8246f,NO,NO,NO,true_orphan
06036faa-ead9-4c0e-bc74-673776ffdd26,NO,NO,NO,true_orphan
8e4777ab-e5ce-4980-89ab-137cb3dc8118,NO,NO,NO,true_orphan
df7c8c46-94fc-43cf-a264-c95e7395eb5a,NO,NO,NO,true_orphan
992a9a6e-3cf4-4b2c-9ac5-794552fa8329,NO,NO,NO,true_orphan
6977bc4b-9daa-48be-8d60-bcaa7082e1b6,NO,NO,NO,true_orphan
ea169300-0931-4361-9a8a-182bb93da917,NO,NO,NO,true_orphan
b2d6fd75-6bea-41e5-bb69-eb57f6165662,NO,NO,NO,true_orphan
03f18c36-1027-49c1-bedd-d3ec6a37687c,NO,NO,NO,true_orphan
a255303b-6461-425b-85b3-f559949a0e81,NO,NO,NO,true_orphan
d24cb30c-0179-4416-9f48-6b5e3acb8c28,NO,NO,NO,true_orphan
ca866eec-23cd-414e-b3e3-c4007cd19681,NO,NO,NO,true_orphan
cc6f6caf-ced9-4e2b-a0f4-e47bd820fe5b,NO,NO,NO,true_orphan
22e05b58-3475-492e-91ba-952de1b54b58,NO,NO,NO,true_orphan
71e6da57-8003-479c-987b-a0c017bd33ee,NO,NO,NO,true_orphan
4808c31a-0ed4-4273-b3bd-90538ca46bbb,NO,NO,NO,true_orphan
388c3e4a-3116-416f-8529-3f020bcce338,NO,NO,NO,true_orphan
a8a48c43-9266-4018-8b1a-bceaeba240bc,NO,NO,NO,true_orphan
6460ff39-f73e-4b2f-82f3-9df4c61d60c9,NO,NO,NO,true_orphan
6152f54c-ec9e-4eee-b86a-906bf6944705,NO,NO,NO,true_orphan
cfab16d9-a39e-4e3a-b9ae-afd1e092be19,NO,NO,NO,true_orphan
c6551715-133f-4070-837a-7214bdb84662,NO,NO,NO,true_orphan
d18a3530-6071-4fbd-82ba-e65afe9dadb5,NO,NO,NO,true_orphan
306d77f3-e50a-4932-aa09-0912dee5499b,NO,NO,NO,true_orphan
ca35f320-5d6c-4bb0-99ec-1de5c89588ab,NO,NO,NO,true_orphan
bfa12e91-bbbe-420e-821f-c61fe33068e1,NO,NO,NO,true_orphan
f8a575de-5431-4770-9fda-bca8a786812a,NO,NO,NO,true_orphan
2d36ac04-b924-4ce8-b071-5bf4693c520f,NO,NO,NO,true_orphan
a8332936-d798-49c3-9cee-2e82c1e2a51c,NO,NO,NO,true_orphan
92545840-0e2c-4c20-8f95-ad052104a777,NO,NO,NO,true_orphan
f56ff9f0-f36c-4f43-a3d0-86527e4bd9c2,NO,NO,NO,true_orphan
5d747aba-3323-4154-aaee-13ecfeb38956,NO,NO,NO,true_orphan
4ce248c1-d7ac-4ea1-8868-bea136045645,NO,NO,NO,true_orphan
574b5e34-b090-4e53-a3b9-342c5c998f7b,NO,NO,NO,true_orphan
17592f6b-cf57-4b2e-a759-2de0cedf940e,NO,NO,NO,true_orphan
8c038b4e-3115-40dc-9ece-ec85d6d57cf6,NO,NO,NO,true_orphan
a2f3a501-8e4d-4d87-afd0-2cc4c45f7dc9,NO,NO,NO,true_orphan
6325c8c9-c578-4f2e-8009-d489866c69c9,NO,NO,NO,true_orphan
2fddc1f2-e202-4226-8c89-96153c80edd4,NO,NO,NO,true_orphan
308b5eb3-9650-4f1e-a8e5-ee2302491e04,NO,NO,NO,true_orphan
53fafaa3-3d1d-4713-a694-92f7f547a033,NO,NO,NO,true_orphan
