RecordID,package_id_1,package_id_2,pkg_count,recordCounty,recordState,recordOriginalFileName,pdf_identity_1,pdf_identity_2,pdf_size_1,pdf_size_2,pdf_etag_1,pdf_etag_2,pkg1_has_ocr,pkg1_has_iie,pkg2_has_ocr,pkg2_has_iie,verdict,keep_package_id,error
e1828769-aefe-4875-a979-ab2e6c78085f,cech9mnlle400097rr9g,cechejmea3q000888sj0,2,NULL,NULL,NULL,s3://di-diml-platinum-prod/cech9mnlle400097rr9g/cech9mjtr21000f4mbcg/4879663.pdf,s3://di-diml-platinum-prod/cechejmea3q000888sj0/cechejm3mlvg0091i5bg/4879663.pdf,208998,208998,270f3958f4b6f58fa447379e011e3ba5,270f3958f4b6f58fa447379e011e3ba5,True,True,True,True,same_pdf,,
e1830dea-9829-40bc-8e19-aae8fe44e0cd,c4e9kbvdeto00089scig,c4e9p5ac0ku000ap4ah0,2,RUSK2,TX,00179880,s3://di-diml-platinum-prod/c4e9kbvdeto00089scig/c4e9kbplms9g00depho0/4241145.pdf,s3://di-diml-platinum-prod/c4e9p5ac0ku000ap4ah0/c4e9p5bjknf000amngkg/4241145.pdf,103300,103300,867ccae7d083e50a17618288bf1114ff,867ccae7d083e50a17618288bf1114ff,True,True,True,True,same_pdf,,
e1a79652-1439-42ea-a8a3-25dd32ed4de1,cocb3v9jhmbg00fgbfg0,cocb3vaase3000bm6vmg,2,MADISON,TX,00077167,s3://di-diml-platinum-prod/cocb3v9jhmbg00fgbfg0/cocb3vc10vk0008899fg/e1a79652-1439-42ea-a8a3-25dd32ed4de1.pdf,s3://di-diml-platinum-prod/cocb3vaase3000bm6vmg/cocb3v81qiv000f3p8ig/e1a79652-1439-42ea-a8a3-25dd32ed4de1.pdf,59719,59719,291cb1faa8dd4786f42cb6ee29c55e8b,291cb1faa8dd4786f42cb6ee29c55e8b,True,True,True,True,same_pdf,,
e1b5ca10-8e39-4e69-ae1d-40ecd4f4a3ea,com7gvo1277000eifcd0,com7h01g8bvg00b61kr0,2,MADISON,TX,00076372,s3://di-diml-platinum-prod/com7gvo1277000eifcd0/com7gvqf6nn00090akqg/e1b5ca10-8e39-4e69-ae1d-40ecd4f4a3ea.pdf,s3://di-diml-platinum-prod/com7h01g8bvg00b61kr0/com7h01qkol000abjumg/e1b5ca10-8e39-4e69-ae1d-40ecd4f4a3ea.pdf,67588,67588,118ee10d9e9e4fe38ea259d236ba2657,118ee10d9e9e4fe38ea259d236ba2657,True,True,True,True,same_pdf,,
e1c61c5c-f627-4896-aeac-6fccc71937f1,co72buo1qiv000f2dfug,co72bupjhmbg00ff16tg,2,MADISON,TX,00053307,s3://di-diml-platinum-prod/co72buo1qiv000f2dfug/co72burai11g00d562qg/e1c61c5c-f627-4896-aeac-6fccc71937f1.pdf,s3://di-diml-platinum-prod/co72bupjhmbg00ff16tg/co72buv3r4d000f1fc8g/e1c61c5c-f627-4896-aeac-6fccc71937f1.pdf,141033,141033,d6c97b584efc0ee4d3a9e499782465b2,d6c97b584efc0ee4d3a9e499782465b2,True,True,True,True,same_pdf,,
e1d89d18-ee5c-43d9-8bdb-f9ee91fc37fc,cod07coim8r000ftlotg,cod07cp9galg00d30nsg,2,MADISON,TX,00074667,s3://di-diml-platinum-prod/cod07coim8r000ftlotg/cod07con2q9g00f1i0g0/e1d89d18-ee5c-43d9-8bdb-f9ee91fc37fc.pdf,s3://di-diml-platinum-prod/cod07cp9galg00d30nsg/cod07co1qiv000f3srdg/e1d89d18-ee5c-43d9-8bdb-f9ee91fc37fc.pdf,59085,59085,6575a84a89a6d0743240faa17bb00373,6575a84a89a6d0743240faa17bb00373,True,True,True,True,same_pdf,,
e1e1aaf5-ed8c-464b-9872-c26846da3008,c4e9k592rh1g009f4gd0,c4e9p5h6lb7g00ceiu2g,2,RUSK2,TX,00184522,s3://di-diml-platinum-prod/c4e9k592rh1g009f4gd0/c4e9k5b0tnc000c84vag/4399551.pdf,s3://di-diml-platinum-prod/c4e9p5h6lb7g00ceiu2g/c4e9p5ilpbg0009nuvg0/4399551.pdf,82016,82016,0d684a155bc72d5a51b7295836d44cf1,0d684a155bc72d5a51b7295836d44cf1,True,True,True,True,same_pdf,,
e1ecd50e-e14e-4cd0-9c3a-f5f825daa5ce,c4e9k5fdeto00089sch0,c4e9p5hlms9g00depjd0,2,RUSK2,TX,00180768,s3://di-diml-platinum-prod/c4e9k5fdeto00089sch0/c4e9k58gdkfg00ckens0/4241154.pdf,s3://di-diml-platinum-prod/c4e9p5hlms9g00depjd0/c4e9p5jvdq3000evtdhg/4241154.pdf,92612,92612,915c9d401a7ad8d8fb189163bfd2f155,915c9d401a7ad8d8fb189163bfd2f155,True,True,True,True,same_pdf,,
e1f0886c-4882-45b1-b333-306480644195,c4e9k596lb7g00ceisj0,c4e9p296lb7g00ceiu1g,2,RUSK2,TX,00185392,s3://di-diml-platinum-prod/c4e9k596lb7g00ceisj0/c4e9k5e22pr000dqlfv0/4324274.pdf,s3://di-diml-platinum-prod/c4e9p296lb7g00ceiu1g/c4e9p29lms9g00depjc0/4324274.pdf,85161,85161,ec6f09e4f9d47ac35b516d7bf31a0875,ec6f09e4f9d47ac35b516d7bf31a0875,True,True,True,True,same_pdf,,
e209ae3d-f5ca-4989-83fb-1eada3428a86,c4e9k58kqp4g00aan4kg,c4e9p28qui1g00dcsjn0,2,RUSK2,TX,00185498,s3://di-diml-platinum-prod/c4e9k58kqp4g00aan4kg/c4e9k5ff3f9g0080s090/4324303.pdf,s3://di-diml-platinum-prod/c4e9p28qui1g00dcsjn0/c4e9p2co26gg008qpbcg/4324303.pdf,80516,80516,b326f97319952b36141899416c2164f2,b326f97319952b36141899416c2164f2,True,True,True,True,same_pdf,,
